Id,Response
1,8
3,1
4,3
9,8
12,8
13,8
21,3
28,8
30,8
36,8
38,1
43,5
45,8
48,8
50,8
51,8
54,1
55,1
59,8
62,8
63,8
66,8
69,8
82,8
83,3
84,5
86,8
89,8
90,8
92,1
98,8
100,1
105,6
115,8
119,8
124,6
127,8
133,8
140,8
141,8
143,8
151,1
154,8
157,8
163,1
166,8
168,8
170,8
173,1
180,1
182,8
184,1
185,8
195,8
196,8
197,8
212,8
213,8
219,1
225,8
227,4
232,8
239,8
247,1
251,8
254,8
261,8
264,1
267,6
272,8
275,8
277,8
283,8
284,1
287,8
291,8
293,1
294,1
305,1
307,2
309,1
311,8
322,8
323,8
326,8
330,8
335,1
337,8
338,8
341,3
346,8
348,3
352,8
356,8
358,6
366,4
369,8
373,4
375,1
381,8
384,8
386,5
396,1
397,8
399,1
405,8
412,5
417,8
421,1
425,8
427,1
430,2
432,6
433,1
436,6
438,8
441,3
442,1
444,6
446,1
448,8
450,8
454,8
465,8
470,5
472,8
475,3
484,8
495,1
497,8
498,1
501,1
502,8
505,8
515,1
516,8
527,8
529,8
531,8
533,8
537,8
541,8
546,4
548,8
549,8
550,8
553,8
559,8
561,1
564,8
574,5
578,8
579,8
580,8
582,8
584,8
588,6
596,8
602,1
603,4
613,8
614,3
619,8
620,8
624,4
625,1
628,1
630,8
635,8
636,6
637,8
641,8
644,8
648,8
654,8
658,8
664,4
666,6
667,8
670,8
672,8
674,8
676,6
684,8
685,6
693,8
694,1
700,3
702,1
703,1
705,6
711,8
718,6
722,8
726,8
727,1
732,4
735,8
740,1
748,8
750,8
751,8
756,4
762,8
766,8
770,8
771,8
779,1
782,3
784,8
793,3
798,3
800,8
801,8
805,8
807,8
813,1
819,4
820,8
822,2
823,2
833,8
834,1
842,8
845,6
856,6
860,8
864,3
869,5
872,4
877,3
878,1
893,8
894,7
896,5
899,8
900,8
911,6
914,1
917,1
919,2
923,8
925,4
926,4
934,8
938,8
940,8
955,3
956,8
971,8
973,8
978,8
979,8
981,8
988,8
990,1
992,1
996,5
997,5
999,3
1000,8
1006,6
1009,8
1018,7
1025,3
1038,8
1042,1
1045,1
1046,8
1047,1
1050,6
1052,8
1054,8
1057,8
1061,1
1069,8
1071,8
1073,6
1074,8
1075,1
1083,1
1084,1
1089,8
1099,8
1103,8
1110,8
1123,3
1130,8
1135,8
1137,4
1145,8
1147,8
1152,4
1153,1
1154,8
1158,8
1166,4
1170,8
1172,6
1178,1
1179,3
1181,3
1182,8
1183,8
1191,1
1192,1
1200,8
1205,8
1207,1
1208,1
1209,8
1217,8
1223,8
1225,8
1226,1
1228,8
1230,1
1232,1
1235,8
1237,8
1257,8
1266,1
1267,8
1274,8
1277,8
1278,8
1280,8
1282,8
1293,8
1294,3
1305,8
1306,6
1311,4
1318,8
1320,8
1323,8
1325,3
1328,8
1336,8
1340,8
1341,6
1344,4
1345,8
1348,3
1358,8
1361,8
1364,6
1373,8
1377,8
1378,8
1380,1
1382,1
1383,1
1386,8
1387,1
1390,8
1395,8
1398,2
1402,8
1403,3
1405,8
1407,1
1410,1
1412,8
1419,8
1426,8
1428,8
1436,3
1437,8
1438,8
1441,8
1444,1
1448,1
1454,8
1457,8
1459,1
1463,4
1467,8
1471,4
1475,8
1476,8
1480,8
1481,1
1482,8
1489,8
1491,8
1494,8
1496,8
1500,8
1501,8
1503,3
1504,8
1505,3
1515,8
1517,1
1520,8
1521,8
1523,6
1526,8
1529,8
1530,1
1543,8
1544,1
1547,8
1550,1
1552,8
1554,1
1563,8
1574,8
1575,1
1576,1
1579,1
1582,8
1584,8
1585,1
1589,8
1596,8
1598,8
1611,8
1613,8
1615,8
1618,5
1627,1
1630,8
1638,3
1639,1
1640,8
1642,1
1645,8
1648,5
1654,2
1661,8
1662,8
1663,4
1666,8
1668,8
1670,8
1672,8
1681,8
1682,8
1683,8
1687,8
1688,8
1693,8
1694,8
1700,6
1704,8
1712,8
1716,8
1717,8
1722,8
1724,8
1738,3
1739,8
1740,8
1761,8
1763,8
1765,8
1766,8
1767,6
1771,8
1772,1
1777,3
1784,1
1799,1
1806,1
1810,8
1812,8
1814,3
1818,3
1819,8
1822,8
1823,8
1824,8
1834,5
1835,3
1844,1
